id,poke_num,name,type,hp,attack,defense,sp_atk,sp_def,speed
111,111,Rhyhorn,GROUND,80,85,95,30,30,25
112,112,Rhydon,GROUND,105,130,120,45,45,40
113,113,Chansey,NORMAL,250,5,5,35,105,50
114,114,Tangela,GRASS,65,55,115,100,40,60
115,115,Kangaskhan,NORMAL,105,95,80,40,80,90
116,116,Horsea,WATER,30,40,70,70,25,60
117,117,Seadra,WATER,55,65,95,95,45,85
118,118,Goldeen,WATER,45,67,60,35,50,63
119,119,Seaking,WATER,80,92,65,65,80,68
120,120,Staryu,WATER,30,45,55,70,55,85
121,121,Starmie,WATER,60,75,85,100,85,115
122,122,Mr. Mime,PSYCHIC,40,45,65,100,120,90
123,123,Scyther,BUG,70,110,80,55,80,105
124,124,Jynx,ICE,65,50,35,115,95,95
125,125,Electabuzz,ELECTRIC,65,83,57,95,85,105
126,126,Magmar,FIRE,65,95,57,100,85,93
127,127,Pinsir,BUG,65,125,100,55,70,85
128,128,Tauros,NORMAL,75,100,95,40,70,110
129,129,Magikarp,WATER,20,10,55,15,20,80
130,130,Gyarados,WATER,95,125,79,60,100,81
131,131,Lapras,WATER,130,85,80,85,95,60
132,132,Ditto,NORMAL,48,48,48,48,48,48
133,133,Eevee,NORMAL,55,55,50,45,65,55
134,134,Vaporeon,WATER,130,65,60,110,95,65
135,135,Jolteon,ELECTRIC,65,65,60,110,95,130
136,136,Flareon,FIRE,65,130,60,95,110,65
137,137,Porygon,NORMAL,65,60,70,85,75,40
138,138,Omanyte,ROCK,35,40,100,90,55,35
139,139,Omastar,ROCK,70,60,125,115,70,55
140,140,Kabuto,ROCK,30,80,90,55,45,55
141,141,Kabutops,ROCK,60,115,105,65,70,80
142,142,Aerodactyl,ROCK,80,105,65,60,75,130
143,143,Snorlax,NORMAL,160,110,65,65,110,30
144,144,Articuno,ICE,90,85,100,95,125,85
145,145,Zapdos,ELECTRIC,90,90,85,125,90,100
146,146,Moltres,FIRE,90,100,90,125,85,90
147,147,Dratini,DRAGON,41,64,45,50,50,50
148,148,Dragonair,DRAGON,61,84,65,70,70,70
149,149,Dragonite,DRAGON,91,134,95,100,100,80
150,150,Mewtwo,PSYCHIC,106,110,90,154,90,130
151,151,Mew,PSYCHIC,100,100,100,100,100,100
